start_ms,end_ms,type,description,exp_name
1775767867896,1775767878984,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767878984,1775767889720,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767889720,1775767900488,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767900488,1775767910200,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767910200,1775767920904,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767920904,1775767931960,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767931960,1775767942856,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767942856,1775767952248,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767952248,1775767962824,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767962824,1775767972984,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767972984,1775767983368,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767983368,1775767993144,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767993144,1775768004040,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768004040,1775768018040,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768018040,1775768028808,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768028808,1775768038456,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768038456,1775768049352,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768049352,1775768059064,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768059064,1775768070152,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768070152,1775768083960,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768083960,1775768095112,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768095112,1775768106296,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768106296,1775768132168,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768132168,1775768187448,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768187448,1775768197832,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768197832,1775768267448,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768267448,1775768278216,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768278216,1775768402296,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768402296,1775768413064,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768413064,1775768485240,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768485240,1775768496328,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768496328,1775768550904,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768550904,1775768561800,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768561800,1775768635768,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768635768,1775768646792,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768646792,1775768660280,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768660280,1775768671432,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768671432,1775768751224,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768751224,1775768761992,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768761992,1775768870008,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768870008,1775768881032,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768881032,1775768913720,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768913720,1775768924680,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768924680,1775768979128,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768979128,1775768990152,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775768990152,1775769027064,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775769027064,1775769037832,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775769037832,1775769087928,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775769087928,1775769110792,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775769110792,1775769155000,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775769155000,1775769175176,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775769175176,1775769210680,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775769210680,1775769227720,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775769227720,1775769259512,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775769259512,1775769273736,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775769273736,1775769283704,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775769283704,1775769310472,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775769310472,1775769343032,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775769343032,1775769356040,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775769356040,1775769386784,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
